H9Gqqs,game,4,11308485,14824238,13281752,6233946,12573677,,15796520,14654675,10467333,0,0,0,0
dn7XsY,game,4,12621851,14896601,12873041,13154852;13154852,12573746,,12339347,13299434,10467333,12308393;12712510,0,0,0
48Mv6h,game,3,13619939,13512254,13355396,10190727,14677214,,13490066,10762824,8200105,0,0,0,0
NKBcCJ,game,5,15594887,15617732,15616676,16193474,6217539,,5734544;6754534;7136788;14275853,14637875,13695482,4529365;4529365;13121114;13121114;13121114;13121114,0,0,0
9TCzK8,game,3,8459973,16047968,11656259,13119518,14676908,,7136722;7136788,11501768,0,14102324;14102324,0,0,0
Ff9NnQ,game,3,16101326,14967074,16088780,3439724,9946512,,13562714,12279560,6537512,0,0,0,0
txGqqs,game,4,11593361,13212008,11223681,10966455,11481840,,10120467,9822903,9382716,0,0,0,0
ybXbt6,graphics,blender,12621851,12766757,12873041,6233946;6233946,12573746,2215506,12446282,16859912,0,0,0,0,0
YP3Zxr,graphics,rhinoceros,12622319,14158409,12243257,11431059;11431059,5185598,,12446249;12660128,12673769,0,0,0,0,0
9jy48d,game,4,12622091,14741834,8556440,13154852;13154852;13154852;13154852,9287271,13522751,6429572;6086737;5702297;13875281,17661149,0,0,0,0,0
hsZZxr,game,4,15594638,16250300,15618923,12952847,14677715,,14350622;12660173,12279560,0,14134970;14134970;14134970;14134970,0,0,0
dNQD4D,design,adobe photoshop,12621851,9783615,14918444,13154852;13154852,5524320,,13645796,6105076,0,0,0,0,0
wMZZxr,broadcast,default,12622091,13668875,11577782,13245200,14676908,,7136788,17135795,17317955,0,0,0,0
MP3Zxr,broadcast,default,15594887,14519828,15604190,13119518,5181099,,12339347,16128968,17317955,0,0,0,0
GvnLrH,game,3,12621851,14753852,11934316,6233946,14677214,,12339347,17661059,12797411,0,0,0,0
TvnLrH,broadcast,default,15594887,14398400,15618923,11431059;13245200,5185598,,7136788,10259580,15577103,0,0,0,0
hnHzK8,video,vegas pro,12621851,14719271,15755711,13245200,14676908,,8034664,12279707,6227740,0,0,0,0
JvnLrH,broadcast,default,12621851,14682743,13167473,6259201,12400844,,7796374;12446249,11404140,12919394,12276197;12276197;12276197,0,0,0
MJ8J7P,graphics,rhinoceros,16872089,16207859,8515179,13119518,14915009,,7136755;8034664,6681208,15577103,0,0,0,0
YyXbt6,game,5,15594263,14379920,15880925,16192307,7110289,,7136788;8034664,13299434,16194959,12308369;12308369,0,0,0
BsZZxr,game,5,12621851,16905161,13059749,6259201,14677715,5271955,5834313;12446249,11096775,15107615,13121114,0,0,0
Rjy48d,graphics,cinema 4D,12622091,13723676,15577538,11576414;11576414,5181099,,8034664;8034664,17357819,15279728,14648102,0,0,0
4KBcCJ,broadcast,default,13620026,14741900,13388384,6259201,14676908,,12339347,13152452,9434946,14102324,0,0,0
rzYgXL,game,4,12621851,14741900,12719003,11431059;11431059,9435804,,8034664,9234321,10455540,0,0,0,0
xyXbt6,game,4,15594638,14508983,15638735,9480372,14677715,,12660173,9234180,9964230,0,0,0,0
MBbhP6,game,3,12621851,14459453,15466997,6233946;6233946,14121053,,4595348;4595334;4595325,15284750,10269120,0,0,0,0
ZsZZxr,game,3,12621851,14873684,11591798,4571543;4571543,9946512,,7136788,12279560,6537512,14102324;14102324,0,0,0
dLJfrH,broadcast,default,12622091,14444267,15021365,11431746,7338562,,12339347,17661059,15334091,14943560;17740010,0,0,0
zBbhP6,work,default,14927615,0,12243257,10966455,5188057,,15796520,15284750,0,0,0,0,0
WWDcCJ,game,3,8459973,14753852,9499989,13401038,14121053,2215506,4595325;15796520,10762809,0,0,0,0,0
RZRTwP,broadcast,default,12622091,14461811,11570450,6259248,14677214,,7136755;8034664,9234567,17317955,4577011;4577011;4577011;4577011,0,0,0
qcYgXL,broadcast,default,12622091,15461534,15156329,11431083,14677715,,12660173;13538642,12279560,16194959,14943560;14943560;14943560;14943560,0,0,0
g29NnQ,game,3,8459973,14873729,12243257,10966455,16290773,,12339347;15796520,15284750,9964338,0,0,0,0
JYTJ7P,game,3,13753394,14857055,13564229,13245026,5188092,,12339347,12279560,16194959,0,0,0,0
dsZZxr,game,3,15594263,14978270,15612413,4571543,14677715,,7136788,12279707,12797411,0,0,0,0
Ltgtt6,broadcast,default,15594887,14873684,16167980,4017346,13975994,,11097639;12338942;13538642,13489901,11402658,17100212,0,0,0
