N0001,work,default,16100840,-,16530470,11541857;11541857,12364721,,13161353,11626910,,0
N0002,work,default,16100921,-,16530470,11541857;11541857,12364721,,13161353,14916101,,0
N0003,work,default,14409386,-,13644035,11541857;11541857,12364721,,13161353,13429067,,0
N0004,work,default,14409479,-,13644035,11541857;11541857,12364721,,13161353,10152003,,0
N0005,work,default,11308551,-,13523756,11541857;11541857,12364721,,12920282,13381619,,0
N0006,work,default,11308551,-,13523756,11541857;11541857,12364721,,13344977,13381634,,0
N0007,work,default,13619897,-,13523756,11541857;11541857,12364721,,13344977,11564300,,0
N0008,work,default,16101083,-,12077012,11541857;11541857,12364721,,13344977,8608640,,0
N0009,work,default,16101326,-,12077012,11541857;11541857,12364721,,13344977,11113710,,0
N0010,design,adobe photoshop,12487424,14934860,13830011,11541857;11541857,12364721,,13161353,14916101,,0
N0011,design,adobe photoshop,13753334,14934860,13830011,11541857;11541857,12364721,,13161353,11626910,,0
N0012,design,adobe photoshop,16101179,14934860,12077012,11541857;11541857,12364721,,13344977,15309809,,0
N0013,design,adobe photoshop,16101353,14934860,12077012,11541857;11541857,12364721,,13344977,15738686,16181519,0
N0014,design,adobe photoshop,15594446,14934860,16248347,11541857;11541857,12364721,,13344977,10214103,,0
N0015,design,adobe photoshop,12487424,15424607,13830011,11541857;11541857,12364721,,13161353,13381619,,0
N0016,work,default,13753334,15424607,13830011,11541857;11541857,12364721,,13161353,13381634,,0
N0017,work,default,16101179,15424607,12077012,11541857;11541857,12364721,,13344977,10441422,,0
N0018,design,adobe photoshop,16101353,15424607,12077012,11541857;11541857,12364721,,13344977,10152003,16181519,0
N0019,design,adobe photoshop,15594446,15424607,16248347,11541857;11541857,12364721,,13344977,11564300,,0
N0020,work,default,12625265,15424607,16358978,11541857;11541857,12364721,,13344977,10214103,,0
N0021,design,adobe photoshop,12487424,15883646,13830011,11541857;11541857,12364721,,13161353,12013670,,0
N0022,design,adobe photoshop,13753334,15883646,13830011,11541857;11541857,12364721,,13161353,7924210,,0
N0023,design,adobe photoshop,15594446,15883646,16248347,11541857;11541857,12364721,,13344977,14916101,17220398,0
