S0001,design,adobe indesign,16101353,15369467,17062373,11790199;11790199,12397334,4490034,13161353,16729808,15956825,
S0002,design,adobe photoshop,16101353,13462442,17062373,11790199;11790199,12397334,,12339347,16185335,14494643,
S0003,game,2,16101179,13462442,16134524,11541857;11541857,12397271,,13161353,16483853,0,
S0004,gmae,3,16101353,13463144,16357988,11541857;11541857,12397271,,13161353,16265933,17047442,
S0005,game,3,16101353,13463144,,11790199;11790199,12397334,6288809,12339347,16729808,17143517,
S0006,graphics,sketchUp,12836186,13463144,11578325,11790199;11790199,12397271,6288809,13161338,16900748,15902594,
S0007,game,5,16101581,14281406,15601613,11028636;11028636;11028636;11028636,16188995,5173062,15022826,16199669,17057594,
S0008,graphics,adboe photoshop,16101353,14479664,16089554,11790199;11790199,12397271,6288809,13161353,13552679,17047442,
S0009,game,5,16101464,16156235,17062373,11541857;11541857,9747777,,13161338,13552679,15902627,
S0010,design,clip studio,12625265,13462442,11574341,11541857;11541857,12397271,4490034,13161353,11884168,12398060,
S0011,game,3,16101464,15945167,16331876,11790199;11790199,12397271,6288809,13161353,12650126,17143607,
S0012,game,4,16101353,14824754,17062373,11790199;11790199,12397334,,13161338,16542008,14494643,
S0013,game,3,16101353,13463144,16331876,11790199;11790199,12397271,4490034,13161353,16178162,17047442;13120691,
S0014,work,default,16101353,,16090028,11541857;11541857,12397211,6288798,13161353,,0,
S0015,game,2,16101179,13462442,16134524,11541857;11541857,12397211,1706996,13161353,13552679,0,
S0016,graphics,v-ray,16101464,16047968,16089554,11790199;11790199,12397271,13522751,13161338,11126688,17002862,
S0017,game,4,12625265,14446814,11572991,11790199;11790199,9747732,6545078,13161338,11884168,17002862,
S0018,game,4,16101353,14861477,16357988,11541857;11541857,12397334,13522751,13161338,9376470,12398060,
S0019,video,vegas pro,16101179,16231076,16333256,11541857;11541857,12397211,,5791864,8457783,0,
S0020,game,3,12625265,13470908,11572991,11541857;11541857,12397271,13522751,13161353,13552679,12398060,
S0021,game,3,16101464,16047968,16406390,11790199;11790199,12397334,15687695,13161338,16900727,15902594,
S0022,game,3,12625265,16047968,11572991,11541857;11541857,12397271,1706996,13161353,16900748,0,
S0023,game,3,12625265,16047968,11572991,11790199;11790199,12397271,,13161338;13161353,12650126,12398060,
S0024,game,3,16101353,14005937,16089554,11541857;11541857,12397271,6288809,13161353,13289927,12398060,
S0025,game,3,16101464,13463144,16089554,11541857;11541857,12397334,,12339347,16178162,16401962;13120691,
S0026,video,adobe aftereffect,12836186,16047968,11572991,11790199;11790199,12397271,6288809,13161353,16729808,15902594,
S0027,graphics,zBrush,12625265,16047968,11578325,11790199;11790199,12397271,6288798,,15803354,0,
S0028,graphics,houdini,12625265,16301504,11572991,11790199;11790199,12397271,6288798,13161353,13552679,0,
S0029,graphics,cinema 4D,16101179,16231076,16134524,11541857;11541857,12397211,6288798,13161353,11126688,0,
S0030,video,adobe premier pro,12625265,16291658,16134440,11790199;11790199,12397271,6288798,13161353,16821380,14494643,
S0031,video,adobe premier pro,16101353,14824829,16089554,11541857;11541857,12397271,6288809,13161353,14078096,0,
S0033,game,3,16101353,16287707,16089554,11790199;11790199,12397271,6288809,13161353,17093102,17047442,
S0034,graphics,adobe illustrator,16101353,16224023,16089554,11790199;11790199,12397211,6288798,13161353,16185371,17047442,
S0035,game,3,16101353,14824829,16089554,11541857;11541857,12397271,,13161338,16729808,16208849,
S0036,graphics,cinema 4D,12625265,16231076,12464213,11790199;11790199,12397271,6288798,13161353,16265933,17047442,
S0037,graphics,autodesk 3ds Max,12625265,14824829,11578097,11541857;11541857,14763332,6545078,13161353,,17047442,
S0038,game,3,16101353,14824829,16089554,11541857;11541857,12397271,,13161338,13552679,0,
S0039,game,3,16101353,14824829,16089554,11790199;11790199,12397271,6288809,13161338,16729808,15956825,
S0040,game,3,16101353,14824829,16089554,11790199;11790199,12397271,6288809,13161338,13446017,17047442,
S0041,game,3,16101179,16291658,16134524,11541857;11541857,12397271,6288798,13161353,16729808,0,
S0042,game,3,16101464,14824829,16406390,11790199;11790199,12397334,6288809,13161338,9376470,15902627,
S0043,broadcast,default,12625265,15435041,12464213,11541857;11541857,12397271,13522751,13161353,16729808,16871363,
S0044,work,default,16100921,,16333256,11541857;11541857,12397211,,5791864,,0,
S0045,game,3,16101353,16224023,16882091,11541857;11541857,12397211,,5791864,13446017,0,
S0046,game,3,16101464,14824829,16406390,11790199;11790199,12397334,15687695,13161338,13552679,15902627,
S0047,work,default,16101353,,16333256,11541857;11541857,12397211,6288798,13161353,14078096,0,
S0048,game,4,16101464,14741900,16406390,11790199;11790199,16188842,6288809,13161338,6975172,16872203,
